Index,Variant,"Region, subregion, country or area *",Type,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Estimates,Gabon,Country/Area,  1 948,  2 008,  2 065,  2 119,  2 173,  2 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Estimates,Sao Tome and Principe,Country/Area,   199,   203,   207,   211,   215,   219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Estimates,Southern Africa,Subregion,  62 985,  63 915,  64 834,  65 739,  66 630,  67 504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Estimates,Botswana,Country/Area,  2 121,  2 160,  2 205,  2 254,  2 304,  2 352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Estimates,Eswatini,Country/Area,  1 104,  1 114,  1 125,  1 136,  1 148,  1 160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Estimates,Lesotho,Country/Area,  2 059,  2 075,  2 092,  2 108,  2 125,  2 142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Estimates,Namibia,Country/Area,  2 315,  2 358,  2 403,  2 448,  2 495,  2 541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Estimates,South Africa,Country/Area,  55 386,  56 208,  57 010,  57 793,  58 558,  59 309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Estimates,Western Africa,Subregion,  351 718,  361 327,  371 160,  381 202,  391 440,  401 861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Estimates,Benin,Country/Area,  10 576,  10 872,  11 175,  11 485,  11 801,  12 123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Estimates,Burkina Faso,Country/Area,  18 111,  18 646,  19 193,  19 751,  20 321,  20 903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Estimates,Cabo Verde,Country/Area,   525,   531,   537,   544,   550,   556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Estimates,Côte d'Ivoire,Country/Area,  23 226,  23 823,  24 437,  25 069,  25 717,  26 378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Estimates,Gambia,Country/Area,  2 086,  2 149,  2 214,  2 280,  2 348,  2 417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Estimates,Ghana,Country/Area,  27 849,  28 482,  29 121,  29 767,  30 418,  31 073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Estimates,Guinea,Country/Area,  11 432,  11 738,  12 068,  12 414,  12 771,  13 133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Estimates,Guinea-Bissau,Country/Area,  1 737,  1 782,  1 828,  1 874,  1 921,  1 968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Estimates,Liberia,Country/Area,  4 472,  4 587,  4 702,  4 819,  4 937,  5 058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Estimates,Mali,Country/Area,  17 439,  17 965,  18 512,  19 078,  19 658,  20 251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Estimates,Mauritania,Country/Area,  4 046,  4 164,  4 283,  4 403,  4 526,  4 650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Estimates,Niger,Country/Area,  20 002,  20 789,  21 602,  22 443,  23 311,  24 207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Estimates,Nigeria,Country/Area,  181 137,  185 960,  190 873,  195 875,  200 964,  206 140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Estimates,Saint Helena,Country/Area,   6,   6,   6,   6,   6,   6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Estimates,Senegal,Country/Area,  14 578,  14 994,  15 419,  15 854,  16 296,  16 744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Estimates,Sierra Leone,Country/Area,  7 172,  7 329,  7 488,  7 650,  7 813,  7 977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Estimates,Togo,Country/Area,  7 323,  7 510,  7 698,  7 889,  8 082,  8 279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
