Index,Variant,"Region,subregion,countryorarea*",Type,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Estimates,Botswana,Country/Area,2121,2160,2205,2254,2304,2352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Estimates,Eswatini,Country/Area,1104,1114,1125,1136,1148,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Estimates,Lesotho,Country/Area,2059,2075,2092,2108,2125,2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Estimates,Namibia,Country/Area,2315,2358,2403,2448,2495,2541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Estimates,SouthAfrica,Country/Area,55386,56208,57010,57793,58558,59309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Estimates,WesternAfrica,Subregion,351718,361327,371160,381202,391440,401861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Estimates,Benin,Country/Area,10576,10872,11175,11485,11801,12123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Estimates,BurkinaFaso,Country/Area,18111,18646,19193,19751,20321,20903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Estimates,CaboVerde,Country/Area,525,531,537,544,550,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Estimates,Côted'Ivoire,Country/Area,23226,23823,24437,25069,25717,26378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Estimates,Gambia,Country/Area,2086,2149,2214,2280,2348,2417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Estimates,Ghana,Country/Area,27849,28482,29121,29767,30418,31073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Estimates,Guinea,Country/Area,11432,11738,12068,12414,12771,13133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Estimates,Guinea-Bissau,Country/Area,1737,1782,1828,1874,1921,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Estimates,Liberia,Country/Area,4472,4587,4702,4819,4937,5058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Estimates,Mali,Country/Area,17439,17965,18512,19078,19658,20251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Estimates,Mauritania,Country/Area,4046,4164,4283,4403,4526,4650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Estimates,Niger,Country/Area,20002,20789,21602,22443,23311,24207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Estimates,Nigeria,Country/Area,181137,185960,190873,195875,200964,206140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Estimates,SaintHelena,Country/Area,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Estimates,Senegal,Country/Area,14578,14994,15419,15854,16296,16744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Estimates,SierraLeone,Country/Area,7172,7329,7488,7650,7813,7977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Estimates,Togo,Country/Area,7323,7510,7698,7889,8082,8279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Estimates,NORTHERNAFRICAANDWESTERNASIA,SDGregion,481520,490571,499497,508326,517106,525869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Estimates,NorthernAfrica,Subregion,223862,228307,232793,237294,241781,246233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Estimates,Algeria,Country/Area,39728,40551,41389,42228,43053,43851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Estimates,Egypt,Country/Area,92443,94447,96443,98424,100388,102334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Estimates,Libya,Country/Area,6418,6492,6581,6679,6777,6871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Estimates,Morocco,Country/Area,34664,35126,35581,36029,36472,36911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Estimates,Sudan,Country/Area,38903,39847,40813,41802,42813,43849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Estimates,Tunisia,Country/Area,11180,11304,11433,11565,11695,11819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Estimates,WesternSahara,Country/Area,526,539,553,567,582,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Estimates,WesternAsia,Subregion,257658,262264,266704,271032,275325,279637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Estimates,Armenia,Country/Area,2926,2936,2945,2952,2958,2963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Estimates,Azerbaijan,Country/Area,9623,9736,9845,9950,10048,10139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Estimates,Bahrain,Country/Area,1372,1426,1494,1569,1641,1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Estimates,Cyprus,Country/Area,1161,1170,1180,1189,1199,1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
